,state,zip,returnsCount,returnsSingleCount,returnsJointCount,returnsHOHCount,totalIncome,standardDeductionReturnsCount,childDeductionCount
7200,IN,47383,40.0,660.0,940.0,2550.0,190.0,1785.0,16.0
7201,IN,47384,30.0,480.0,690.0,1860.0,100.0,0.0,14.0
7202,IN,47385,0.0,430.0,570.0,1460.0,110.0,0.0,12.0
7203,IN,47386,20.0,290.0,360.0,1070.0,70.0,0.0,7.0
7204,IN,47387,0.0,210.0,230.0,690.0,50.0,0.0,4.0
7205,IN,47390,50.0,1370.0,1450.0,4240.0,280.0,890.0,46.0
7206,IN,47393,0.0,370.0,400.0,1530.0,70.0,0.0,13.0
7207,IN,47394,60.0,2090.0,2400.0,6750.0,530.0,2720.0,66.0
7208,IN,47396,110.0,1790.0,2500.0,7090.0,740.0,8751.0,44.0
7209,IN,47401,480.0,7310.0,11590.0,31110.0,5190.0,67073.0,194.0
7210,IN,47403,430.0,5390.0,11540.0,26770.0,2080.0,17723.0,267.0
7211,IN,47404,220.0,3660.0,6960.0,16640.0,1600.0,18730.0,132.0
7212,IN,47406,0.0,0.0,80.0,50.0,0.0,0.0,0.0
7213,IN,47408,230.0,2800.0,5260.0,11970.0,1800.0,23470.0,89.0
7214,IN,47421,300.0,7190.0,9430.0,24730.0,1690.0,14885.0,217.0
7215,IN,47424,90.0,2390.0,2970.0,8120.0,590.0,4895.0,58.0
7216,IN,47427,0.0,260.0,280.0,890.0,40.0,0.0,9.0
7217,IN,47429,70.0,1560.0,2780.0,7230.0,480.0,4696.0,73.0
7218,IN,47431,0.0,370.0,430.0,1230.0,60.0,0.0,12.0
7219,IN,47432,40.0,1370.0,1570.0,3870.0,220.0,804.0,72.0
7220,IN,47433,40.0,940.0,1320.0,3510.0,190.0,924.0,36.0
7221,IN,47436,20.0,380.0,490.0,1380.0,90.0,1094.0,10.0
7222,IN,47438,40.0,1070.0,1380.0,3700.0,230.0,1308.0,36.0
7223,IN,47441,100.0,2520.0,2930.0,7850.0,580.0,3286.0,56.0
7224,IN,47443,0.0,280.0,330.0,950.0,40.0,0.0,8.0
7225,IN,47446,130.0,2440.0,3210.0,8350.0,450.0,2827.0,72.0
